Created,
"2008-07-01 00:00:00","6"
"2008-08-01 00:00:00","5346"
"2008-09-01 00:00:00","17688"
"2008-10-01 00:00:00","17716"
"2008-11-01 00:00:00","15072"
"2008-12-01 00:00:00","14544"
"2009-01-01 00:00:00","18874"
"2009-02-01 00:00:00","20806"
"2009-03-01 00:00:00","23561"
"2009-04-01 00:00:00","24574"
"2009-05-01 00:00:00","29573"
"2009-06-01 00:00:00","32356"
"2009-07-01 00:00:00","37251"
"2009-08-01 00:00:00","37912"
"2009-09-01 00:00:00","38369"
"2009-10-01 00:00:00","42265"
"2009-11-01 00:00:00","44765"
"2009-12-01 00:00:00","44261"
"2010-01-01 00:00:00","52295"
"2010-02-01 00:00:00","52662"
"2010-03-01 00:00:00","61879"
"2010-04-01 00:00:00","59827"
"2010-05-01 00:00:00","62292"
"2010-06-01 00:00:00","66970"
"2010-07-01 00:00:00","72625"
"2010-08-01 00:00:00","76337"
"2010-09-01 00:00:00","73225"
"2010-10-01 00:00:00","76204"
"2010-11-01 00:00:00","82510"
"2010-12-01 00:00:00","83335"
"2011-01-01 00:00:00","93964"
"2011-02-01 00:00:00","98145"
"2011-03-01 00:00:00","120754"
"2011-04-01 00:00:00","115842"
"2011-05-01 00:00:00","121598"
"2011-06-01 00:00:00","120729"
"2011-07-01 00:00:00","123755"
"2011-08-01 00:00:00","131685"
"2011-09-01 00:00:00","127967"
"2011-10-01 00:00:00","126522"
"2011-11-01 00:00:00","135069"
"2011-12-01 00:00:00","129112"
"2012-01-01 00:00:00","144109"
"2012-02-01 00:00:00","155693"
"2012-03-01 00:00:00","168695"
"2012-04-01 00:00:00","163260"
"2012-05-01 00:00:00","171421"
"2012-06-01 00:00:00","166544"
"2012-07-01 00:00:00","181874"
"2012-08-01 00:00:00","181013"
"2012-09-01 00:00:00","170453"
"2012-10-01 00:00:00","193954"
"2012-11-01 00:00:00","190872"
"2012-12-01 00:00:00","177776"
"2013-01-01 00:00:00","208773"
"2013-02-01 00:00:00","206367"
"2013-03-01 00:00:00","237087"
"2013-04-01 00:00:00","234387"
"2013-05-01 00:00:00","226297"
"2013-06-01 00:00:00","217672"
"2013-07-01 00:00:00","241917"
"2013-08-01 00:00:00","232411"
"2013-09-01 00:00:00","227617"
"2013-10-01 00:00:00","253181"
"2013-11-01 00:00:00","244213"
"2013-12-01 00:00:00","229520"
"2014-01-01 00:00:00","259862"
"2014-02-01 00:00:00","260462"
"2014-03-01 00:00:00","289103"
"2014-04-01 00:00:00","274175"
"2014-05-01 00:00:00","258159"
"2014-06-01 00:00:00","238820"
"2014-07-01 00:00:00","255455"
"2014-08-01 00:00:00","236526"
"2014-09-01 00:00:00","242139"
"2014-10-01 00:00:00","252152"
"2014-11-01 00:00:00","244719"
